SNo,Reg.Number,Name,Address,Mobile,Email,Website,Type
16,UPRERAPRM10144,Morpheus Prodevelopers Pvt Ltd,"Registered Office: 1, Main road, Maujpur- delhi-110053",9811244665,rakesh.singh@themorpheusgroup.com,http://www.themorpheusgroup.com/,Company
17,UPRERAPRM10147,BIBHAB BUILDWELL,"BIBHAB CITY CENTRE, 164, NEHRU NAGAR,BYE PASS ROAD , AGRA, UP",9719341222,bibhabbuilders@rediffmail.com,https://www.up-rera.in/www.bibhabbuilders.com,Partnership Firm
18,UPRERAPRM101520,JKR Infratech,27-II Gokhale Marg Lucknow 226001,9935352222,sachdeva.jugal@gmail.com,http://www.jkrinfratech.com/,Partnership Firm
19,UPRERAPRM10154,E HOMES INFRASTRUCTURE PVT LTD,DASNAC ANNEXE I ECE HOUSE 28A KASTURBA GANDHI MARG NEW DELHI 110001,8800899431,LEGAL@DASNAC.COM,http://www.dasnac.com/,Company
20,UPRERAPRM101634,PARDOS LUCKNOW DEVELOPERS PRIVATE LIMITED,61-63 PANCHKUIAN ROAD SECOND FLOOR NEW DELHI 110001,9810571165,jschawla@ctc-ltd.com,http://okas.co.in/,Company
21,UPRERAPRM10171,SEIKOM INFRACOM PVT LTD,"SC-01/GH-07 Sports City Techzone IV,Greater Noida (West) UP",9899111172,sandeep.k@supercitygroup.com,http://www.ballyhai.in/,Company
22,UPRERAPRM10179,SADHANA ENTERPRISES,"193-A, SAKET, MEERUT",9690509404,tilakrajgera79@gmail.com,,Partnership Firm
23,UPRERAPRM10181,DLF HOME DEVELOPERS LIMITED,"DLF CENTRE, SANSAD MARG, NEW DELHI 110001",9312629047,singh-rajeev2@dlf.in,https://www.up-rera.in/www.dlf.in,Company
24,UPRERAPRM101905,EMAMI REALTY LTD.,"Acropolis, 13th Floor, 1858/1, Rajdanga Main Road, Kolkata- 700107",9051416911,ratul.gupta@emamirealty.com,http://www.emamirealty.com/,Company
25,UPRERAPRM10194,S V MegaStructures Limited,"117/K/137, Sarvodaya Nagar, Kanpur 208025",9690018945,svmega.kanpur@gmail.com,https://www.up-rera.in/www.svml.co.in,Company
26,UPRERAPRM10196,Asteroid Shelters Homes Pvt. Ltd,"H - 175 Sector 63, NOIDA",7011751439,asteroidsheltershomes@thegalaxygroup.com,https://www.up-rera.in/www.thegalaxygroup.com,Company
27,UPRERAPRM102008,SHREE AADINATH ESTATE DEVELOPERS,"A-310, Meerut Mall, Delhi Road, Meerut",9837020957,apexenclave1@gmail.com,https://www.shreeaadinath.com/,Partnership Firm
28,UPRERAPRM102072,MJ LIFESPACES LLP,"No 137, Manas Enclave, Indiranagar, Lucknow 226016",9945733838,mohit@mjlifespaces.com,http://www.mjlifespaces.com/,Partnership Firm
29,UPRERAPRM102120,SHIV VARDAN DEVELOPERS,"SHIV VARDAN VIHAR, SHIVPURI ROAD, PALI PAHADI, JHANSI, UTTAR PRADESH",7617017936,sureshpremchandani23@gmail.com,https://shivvardandevelopers.godaddysites.com/,Partnership Firm
30,UPRERAPRM10216,Savfab Developers Private Limited,"C/O SAVFAB DEVELOPERS PVT LIMITED C 39/1B MEERUT RD INDUSTRIAL AREA SITE 3 GHAZIABAD, U.P.-201001",8860636455,savfabdevelopers@gmail.com,https://www.up-rera.in/WWW.JASMINEGROVE.CO.IN,Company
31,UPRERAPRM102169,Shreemaa Infrarealty Pvt Ltd,"B 30/251, Nagwa, Lanka, Varanasi.",9919224444,email.shreemaa@gmail.com,http://www.shreemaainfra.com/,Company
32,UPRERAPRM10224,DEVSAI CONSTRUCTION PRIVATE LIMITED,"Registered Office Address- Shop No. 6/1-B-2, Ground Floor, East Guru Angad Nagar, Kaley Ram Chamber, East Delhi, Delhi, PIN - 110092. Corporate Office Address- Sports City, Plot No. GH-02, Adjoining Techzone-IV, Greater NOIDA (West), Gautam Buddha Nagar, Uttar Pradesh, PIN -201009. Site Address- Sports City, Plot No. GH-02, Adjoining Techzone-IV, Greater NOIDA (West), Gautam Buddha Nagar, Uttar Pradesh, PIN -201009.",9312271916,devsaiconstructionpvtltd@gmail.com,https://www.up-rera.in/www.sportshome.in,Company
33,UPRERAPRM10232,CREST INFRACON PRIVATE LIMITED,"CORONATION ANAND TOWER, 116-117, 1ST FLOOR, VIBHUTI KHAND, GOMTI NAGAR, LUCKNOW",7570007505,acct.crestinfracon@gmail.com,,Company
34,UPRERAPRM102583,Express Projects Pvt. Ltd.,"Registered Office Address- 810, Surya Kiran Building 19, Kasturba Gandhi Marg, Connaught Place, New Delhi-110001 Corporate Office Address- H-139, Sector-63, Noida, U.P. Site Address- Plot No. GH-06A, Sector-1, Greater Noida, U.P.",9312632920,astra@expressbuildersltd.com,https://expressbuildersltd.com/,Company
35,UPRERAPRM102695,IRISH INFRASTRUCTURE PRIVATE LIMITED,"Registered Office Address- 54, 1st Floor, DDA Market, LU Block, Pitampura New Delhi - 110034, Corporate Office Address- GH-04, Sports City, Sec- Tech Zone -IV, Greater NOIDA (West), Gautam Buddha Nagar, UP-201306, Site Address- GH-04, Sports City, Sec- Tech Zone -IV, Greater NOIDA (West), Gautam Buddha Nagar, UP-201306.",9811511654,iiplsportcity@gmail.com,https://www.irishinfra.com/,Company
36,UPRERAPRM102725,BUOYANT BUILDTECH PVT LTD,"214 ALIG CORPORATE PLAZA, MARRIS ROAD, ALIGARH",8171781111,info@buoyantbuildtech.com,http://buoyantbuildtech.com/,Company
37,UPRERAPRM10277,Sukhada Life Spaces,"002, Gauri Apartments, 57, Hilton lane, Meerabai Marg, Lucknow.",9956298813,info@sidpl.in,https://www.up-rera.in/www.sukhadalife.com,Partnership Firm
38,UPRERAPRM102822,Allegiance Conbuild Private Limited,"15 New Rajdhani Enclave, East Delhi, Delhi 110092.",9310502222,acpl.rera@gmail.com,https://www.vrindahomes.in/,Company
39,UPRERAPRM102869,TANDT REALTECH PRIVATE LIMITED,"Plot No. 3/SP-03, Siddharth Vihar, Ghaziabad-201009",9810134320,tandtrealtech.gh01@gmail.com,https://www.tandtgroup.in/,Company
40,UPRERAPRM10288,Raj Ganga Builders,"13/20, Indira Nagar, Lucknow",8795817007,manishstrucon@gmail.com,https://www.up-rera.in/www.rajganga.com,Partnership Firm
41,UPRERAPRM10292,Ram Raghu Buildwell,"Suresh Plaza, M.G.Road, Agra.",9837094694,mb.ramraghu@gmail.com,https://www.up-rera.in/www.ramraghu.com,Partnership Firm
42,UPRERAPRM10294,Omaxe Buildhome Private Limited,"Omaxe House, 10, LSC, Kalkaji, New Delhi - 110019",9999999825,buildhome@omaxe.com,https://www.up-rera.in/www.omaxe.com,Company
43,UPRERAPRM10301,RUDRA REAL ESTATE PRIVATE LIMITED,"SATYA BUSINESS PARK,1 ST FLOOR,1, NAWAL KISHORE ROAD,HAZRATGANJ,Uttar Pradesh,226001",7897770038,rera.rrepl@rudra.net.in,https://www.up-rera.in/www.rudrarealestate.com,Company
44,UPRERAPRM103065,Golden Gateway,"House No. 61, First Floor, Sector-21D, Faridabad 121001",9650852333,info@goldengatewayvrindavan.com,http://www.goldengatewayvrindavan.com/,Partnership Firm
45,UPRERAPRM10308,RAJVANSH ESTATES PRIVATE LIMITED,"803B, JATEPUR DAKSHINI, KARORIMAL KA HATA, SUMER SAGAR, GORAKHPUR-273001",9415210547,rajvanshresidency@gmail.com,,Company
46,UPRERAPRM103182,CONTEND BUILDERS PVT.LTD.,"DGL006, Ground Floor, DLF Galleria, Mayur Vihar, Phase-I, New Delhi-110091",9873707675,contactus@antaranoida.com,http://www.antaranoida.com/,Company
47,UPRERAPRM10366,M/s Shalimar KSMB Projects,Titanium Block Shalimar Corporate Park Vibhuti Khand Gomti Nagar Lucknow,7408086999,opsingh@shalimar.org,http://www.shalimarcorp.com/,Partnership Firm
48,UPRERAPRM10383,TULSIANI CONSTRUCTIONS AND DEVELOPERS PRIVATE LIMI,"PLOT NO. 3 BLOCK N, GREEN PARK (MAIN) NEW DELHI ,110016",9129067888,shwetatcdl@gmail.com,http://www.tcdl.in/,Company
49,UPRERAPRM10394,Anna Infrastructures Limited,"anna infrastructure limited first floor shanta tower, block no e 14/6 sanjay lace agra 282004",9358380806,annail.agra@gmail.com,http://www.annainfra.com/,Company
50,UPRERAPRM10413,SPVP Infra Developers,"KAMLA MANNSIONS, Alakhnath Road, Bareilly.",9897024689,spvpinfradevelopers@gmail.com,,Proprietorship Firm
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,,"javascript:__doPostBack('ctl00$ContentPlaceHolder1$grdagents','Page$4')",5
1,2,3,4,5,,"javascript:__doPostBack('ctl00$ContentPlaceHolder1$grdagents','Page$5')",6
51,UPRERAPRM104237,DEVENDRA NATH AGRAWAL,"H.NO-C/140/11, CHARANLAL CHOWK, SANTOSHI MATA KA MANDIR, RUDRAPUR, GORAKHPUR",6393521560,anandmani0007@rediffmail.com,http://baserainfracity.com/,Individual
52,UPRERAPRM10424,VINAYAKA SQUARE PRIVATE LIMITED,"LS01, SECTOR BETA 1ST, GREATER NOIDA (UP)",9811780501,accounts@shrivinayaka.in,https://www.up-rera.in/www.shrivinayaka.in,Company
53,UPRERAPRM10427,Anand Lifespace Development LLP,"711/92, Deepali Nehru Place, New Delhi :110019",9643007884,jeevansukhrera@atsgreens.com,http://www.atsgreens.com/,Partnership Firm
54,UPRERAPRM10431,CLOUD 9 PROJECTS PRIVATE LIMITED,"TECH BOULEVARD, CENTRAL BLOCK, PLOT NO. 6, SECTOR 127, NOIDA, UTTAR PRADESH- 201301",8800598739,lbe3c100@gmail.com,https://www.up-rera.in/www.the3c.in,Company
55,UPRERAPRM10443,RUDRA BUILDWELL CONSTRUCTIONS PVT LTD,"CS-01,4TH FLOOR, ANSAL PLAZA, VAISHALI, GHAZIABAD-201010.",8588821531,RKKBNOWS@GMAIL.COM,http://www.kbnowssociety.com/,Company
56,UPRERAPRM10455,Neel Padam Builders Pvt Ltd,"9, Kailash Hills, New Delhi",9818505422,karmyogigroup@gmail.com,https://www.up-rera.in/www.karmyogigroup.com,Company
57,UPRERAPRM10457,Dev Landcon private limited,"Khasra No. 103, Village Makarmatpur Sikrod, Ghaziabad, Uttar Pradesh, U.P.-201002",9810041783,devlandconpvtltd2017@gmail.com,https://www.up-rera.in/www.devlandcon.com,Company
58,UPRERAPRM10464,MAA LALITA ENTERTAINMENT AND DEVELOPERS PRIVATE LI,"265/316, OLD KATRA, ALLAHABAD - 211002",9839054198,aditya_alld@hotmail.com,https://www.up-rera.in/WWW.VINAYAKREALTORS.COM,Proprietorship Firm
59,UPRERAPRM10467,ISHA DEVELOPERS & BUILDERS PVT LTD,G-5 EKTA APARTMENTS ROORKEE ROAD MEERUT,8630590463,kumarmanoj6323@gmail.com,,Company
60,UPRERAPRM10505,ALPHABET HEIGHTS PVT LTD (Formerly MAPLE REALCON PVT LTD),"SATNAM SINGH SACHDEVA (CHAIRMAN) APEX ALPHABET REG. OFF. B-22, F/Floor, Village Gazipur, Delhi East Delhi -110096",9810538730,satnam.singh@apexindia.in,,Company
61,UPRERAPRM10541,Ansal Landmark Townships Pvt. Ltd.,"115 Ansal Bhawan 16 Kasturba Gandhi Marg, New Delhi- 100001",9758211388,meerutsushantcity@ansalapi.com,https://www.up-rera.in/www.ansalapi.com,Company
62,UPRERAPRM10543,SANTOSH KUMAR SAHU,91/1 CIVIL LINES JHANSI UP PIN 284001,9452230749,erpavansahu@gmail.com,,Individual
63,UPRERAPRM10564,Omaxe India Trade Centre Private Limited,"10, Local Shopping Centre Kalkaji, New Delhi Dl-110019 IN",9999999316,indiatradecentre@omaxe.com,https://www.up-rera.in/www.omaxe.com,Company
64,UPRERAPRM10590,SUKRITI HOUSING INDUSTRIES PVT.LTD,"3/305,Vivek Khand,Gomti Nagar,Lucknow",9918002767,info.sukriti428@gmail.com,https://www.up-rera.in/WWW.SUKRITIGROUPLKO.COM,Company
65,UPRERAPRM10595,ROHTAS PROJECTS LIMITED,27/18 RAJA RAM MOHAN RAI MARG LUCKNOW,9554960912,legal@rohtasprojects.com,https://www.up-rera.in/www.rohtasprojects.com,Company
66,UPRERAPRM10598,SKARDI REALTECH PVT LTD,"A-76,KANTI NAGAR,NEAR HERO HONDA SHOWROOM, DELHI-51",9810155534,lnjha@yahoo.co.in,https://www.up-rera.in/www.skardi.in,Company
67,UPRERAPRM10632,Amrapali Princely Estate Pvt Ltd,"307, 3RD FLOOR, NIPUN TOWERS, COMMUNITY CENTRE, KARKARDOOMA, DELHI-110092",9643812512,princely@amrapali.in,,Company
68,UPRERAPRM106559,ANGEL DWELLINGS PRIVATE LIMITED,"43, Hewatt Road, Shakku Compound, Bhanmati Circle, Shivaji Marg Lucknow UP 226001",9119602900,rera.angeldwellings@oneoak.in,http://www.oneoak.in/,Company
69,UPRERAPRM10663,AMRAPALI DREAM VALLEY PRIVATE LIMITED,"83, AGCR ENCLAVE, DELHI-110092",9873871030,brijesh@amrapali.in,https://www.up-rera.in/www.amrapali.in,Company
70,UPRERAPRM10672,RADHA TOWER SKIPPERS PVT LTD,"101, vardhaman ac market, vigyan vihar, delhi-110092",9971688886,devanshu_4444@yahoo.co.in,https://www.up-rera.in/www.heritagegreensmathura.com,Company
71,UPRERAPRM10682,M/S ANTRIKSH ENGINEERS PRIVATE LIMITED ( ANTRIKSH,"34/C-8, SECTOR-8, ROHINI, NEW DELHI - 110085",9310068117,rera.antrikshgroup@hotmail.com,,Company
72,UPRERAPRM10691,Pigeon Buildhome Private Limited,"GH-07A, TECHZONE IV, G.NOIDA (W)",7840021021,CRM@SPRINGMEADOWS.ME,https://www.up-rera.in/www.springmeadows.me,Company
73,UPRERAPRM10701,PRIMROSE INFRATECH P LTD,"H-56, 1ST FLOOR, SECTOR-63,NOIDA",8130888337,INFO@PRIMROSEINFRA.IN,https://www.up-rera.in/WWW.PRIMROSEINFRA.IN,Company
74,UPRERAPRM10715,ANSH NIRMAN PRIVATED LIMITED,"44/A, LANE NO 5 RAVINDRAPURI BHELUPUR VARANAS",8874442444,anujdid07@gmail.com,,Company
75,UPRERAPRM10716,IDEA BUILDERS PRIVATE LIMITED,C 10 RAMPRASTHA GHAZIABAD,9810089717,contact@ideabuilders.in,https://www.up-rera.in/WWW.IDEABUILDERS.IN,Company
76,UPRERAPRM10722,M I B Homes Private Limited,"VIth Floor, New Janpath Complex, 9A Ashok Marg, Hazratganj, Lucknow-226001",7570901594,mibuilders1987@gmail.com,http://mibhomes.in/,Company
77,UPRERAPRM107357,Sivanta Homes,1076 Civil Lines Jhansi,9532377780,mayankgarg@hotmail.com,https://www.sivantahomes.in/,Partnership Firm
78,UPRERAPRM107360,MAHADEVA ESTATEVILLA PRIVATE LIMITED,"700/33, Near Town Model City, Rajajipuram, Lucknow-226017",8574040902,mahadevahimcity0001@gmail.com,http://mahadevagroup.in/,Company
79,UPRERAPRM107361,ACP Developers LLP,"12/474, Gwaltoli, Kanpur",9336222844,agarwaladitya14@gmail.com,https://sukhdhamgreenville.com/,Partnership Firm
80,UPRERAPRM107440,RIO HEIGHTS PRIVATE LIMITED,D-101 APEX ACACIA VALLEY SECTOR-3 VAISHALI GHAZIABAD,9810030956,neha.bajaj@apexindia.in,https://apexindia.in/,Company
81,UPRERAPRM107443,KUNJBEHARILAL REALTY PRIVATE LIMITED,117 KIKA STREET GULALWADI MUMBAI 400004,7905959633,kbrealtypvtltd@gmail.com,https://kbrpl.in/home,Company
82,UPRERAPRM107596,GANGA VIDHYA PROPERTY HUB PRIVATE LIMITED,"237A, GALI NO.1 SHRINGAR NAGAR ETAH Etah UP 207001 IN",9927088485,etahsudhir@gmail.com,http://www.gvproperty.in/,Company
83,UPRERAPRM10762,CLARION TOWNSHIPS PRIVATE LIMITED,27/18 RAJA RAM MOHAN RAI MARG LUCKNOW,9554960912,akpandey_rohtasprojects@rediffmail.com,https://www.up-rera.in/www.rohtasproject.com,Company
84,UPRERAPRM10776,NEW WAY HOMES PRIVATE LIMITED,"GF-11, 1ST.FLOOR, PRAKSHDEEP BUILDING, 7 TOLSTOY MARG, CONNAUGHT PLACE, NEW DELHI-110001",8377008903,accounts@newwayhomes.in,https://www.up-rera.in/www.newwayhomes.in,Company
85,UPRERAPRM10786,Ganga Ratan Developers,"G/C-1, TAJNAGRI PHASE - 2 FATEHABAD ROAD, AGRA - 282001",9536873844,sunil332156@gmail.com,,Partnership Firm
86,UPRERAPRM1079,Strategic Developers Private Limited,"A-304, Krishna Apra Residency, E-8, Sector-61, Noida (U.P.) - 201301",9910049692,manish@strategicgroup.in,https://www.up-rera.in/www.strategicgroup.in,Company
87,UPRERAPRM10803,MATESHWARI INFRASOLUTIONS,"3/136, VISHWASH KHNAD GOMTI NAGAR LUCKNOW",9935238786,mateshwariinfra81@gmail.com,https://www.zaubacorp.com/company/MATESHWARI-INFRASOLUTIONS-PRIVATE-LIMITED/U45201UP2014PTC062141,Company
88,UPRERAPRM10804,Mangalam Builders and Promotersl,K-1164 A Aashiyana Colony Lucknow-226012,8400602001,mangalambuilder@gmail.com,https://www.up-rera.in/In%20development,Proprietorship Firm
89,UPRERAPRM1081,AR LANDCRAFT LLP,"U.M. House, 3rd Floor, Tower A, Plot No. 35,Sector 44, Gurgoan",8800010790,noticecrest_ggl@godrejproperties.com,https://www.godrejproperties.com/godrejgolflinks/introduction,Partnership Firm
90,UPRERAPRM10812,M/s Geotech Homz Pvt. ltd.,"744, pocket-E,Mayur Vihar, Phase-II, Delhi-110096",8130454545,deepak@geotechhomz.co.in,,Company
91,UPRERAPRM10813,M/s Shalimar Lakecity Private Limited (Formerly M/s ANS Developers Private Limited),"11th floor, Shalimar Titanium Vibhuti Khand Gomti Nagar Lucknow-226010 UP India",8795427222,hasnain.husain@shalimar.org,http://www.shalimarcorp.com/,Company
92,UPRERAPRM108259,VIDHAN METRO,"Arazi No. 497 & 498, Mauza Tarna, Shivpur, Varanasi-221003",7706000394,account@vidhangroup.com,https://www.vidhanmetro.com/,Association Of Persons (AOP)
93,UPRERAPRM108362,Gateway Global Buildwell Private Limited,"G-10,Siddhartha Building ,96 Nehru Place,New Delhi",7906171261,gatewaygg1@gmail.com,http://gatewaybuildwell.com/,Company
94,UPRERAPRM10889,NIPUN BUILDERS & DEVELOPERS PRIVATE LIMITED,"509, NIPUN TOWER, PLOT NO.15, COMMUNITY CENTRE, KARKARDOOMA, OPP. METRO STATION, DELHI-110 092",9810442254,nipunbuilder@hotmail.com,http://www.nipunbuilders.com/,Company
95,UPRERAPRM10942,KHAN AND BROTHERS INFRATECH PVT LTD,"KHAN AND BROTHERS, MAULANA AZAD NAGER, NEAR AL-BARKAAT SCHOOL, ANOOPSHAHR ROAD, ALIGARH-202001",7500778600,qamroz@kbinfratech.in,https://www.up-rera.in/www.kbinfratech.in,Company
96,UPRERAPRM10947,Siddhee Vinayak Infrahome Private Limited,"B 31/30, Opposite Ravidas Gate, Lanka, Varanasi - 221005",8799468655,tridevdham@gmail.com,https://www.up-rera.in/www.shreetridev.com,Company
97,UPRERAPRM10953,Azure Infracity Private Limited,"2nd Floor Super Shopping Centre, Faizabad Road, Lucknow",9935329007,RERA.GOEL@GMAIL.COM,http://www.up-rera.in/,Company
98,UPRERAPRM10954,KDP INFRASTRUCTURE PRIVATE LIMITED,UB-19 ANTRIKSH BHAWAN K.G MARG DELHI,8860374743,info@kdp.in,https://www.up-rera.in/www.kdp.in,Company
99,UPRERAPRM10962,NILAYA INFRA PRIVATE LIMITED,"121, DUPLEX, SWARNIM VIHAR, SECTOR-82, NOIDA-201304",9999999540,nitintyagi.g@gmail.com,http://www.nilayainfra.org/,Company
100,UPRERAPRM10972,PARAS GREENS,"3RD FLOOR, P SQUARE MALL, 218E /71,M.G. MARG, CIVIL LINES,ALLAHABAD UTTAR PRADESH-211001",9554055555,parasgreens.ald@gmail.com,,Partnership Firm
101,UPRERAPRM10974,ANSAL URBAN CONDOMINIUMS PRIVATE LIMITED,"115, Ansal Bhawan, 16, KG Marg, New Delhi - 110001",9810658227,sushantaquapolisrera@gmail.com,https://www.up-rera.in/www.sushantaquapolis.com,Company
102,UPRERAPRM10976,SRIGARV INFRATECH PVT LTD,"251 B,FF,LIG FLAT, POCKET 12,JASOLA NEW DELHI-110025",7835000892,srigarvinfratech@gmail.com,https://www.up-rera.in/www.primrosesquare.com,Company
103,UPRERAPRM10987,AIG INFRATECH INDIA PVT LTD,"GC-2,GH01,GAUR CIT-1,SEC-04,G.NOIDA",9268566540,info@aiginfratech.com,,Company
104,UPRERAPRM10988,Galaxy International Realtech Pvt. Ltd.,"H-95,Sector-63, Noida-201 301",9953558659,Ddrsanjeev1@gmail.com,,Company
105,UPRERAPRM109933,SHREE PITAMBRA INFRAZONE PRIVATE LIMITED,91/1 CIVIL LINES JHANSI,9415057799,namohomesjhs@gmail.com,https://www.namohomes.com/,Company
106,UPRERAPRM11012,Kunal Infraproject Pvt Ltd,"2nd Floor Super Shopping Centre, Faizabad Road, Lucknow",8853099992,RERA.KUNAL@GMAIL.COM,http://www.up-rera.in/,Company
107,UPRERAPRM110131,Rudra Real Estate (VNS) Private Limited,"Rudra House, 15/63, Civil lines, Kanpur - 208001 Uttar Pradesh",9026510303,saurabh.agrawal@rudra.net.in,https://www.rudrarealestate.com/,Company
108,UPRERAPRM110134,Roseberry Estate LLP,"3rd Floor, UM House, Plot No. 35, Sector 44, Gurgaon 122002",9818990385,godrej43noida@godrejproperties.com,https://www.godrejproperties.com/,Partnership Firm
109,UPRERAPRM11029,DILIGENT BUILDERS PVT. LTD. (ANTRIKSH GROUP),"34/C-8, SECTOR-8, ROHINI, NEW DELHI - 110085.",9310068117,rera.diligent@hotmail.com,,Company
110,UPRERAPRM110354,Beenu Srivastava,7C/12 Vrindavan Yojna Raibarily Road Lucknow,9336666933,beenusri@gmail.com,http://www.nayajamana.com/,Individual
111,UPRERAPRM11036,SUNRISE STRUCTURES & DEVELOPERS PRIVATE LIMITED,"R/o 59-A/19, 3D FLOOR, GURU NANAK PURA, LAXMI NAGAR, Delhi DL 110092 IN Project Site At REP-02A, Sector-27, Opp. Delta 1 Metro Station, Greater Noida U P -201308",7428320146,info@suntwilight.com,http://suntwilight.co.in/,Company
112,UPRERAPRM11044,BHUTANI GROUP,"PLOT NO 3 & 4 SAVITRI BHAWAN , A BLOCK , PREET VIHAR",9654443444,rera@bhutanigroup.com,,Company
113,UPRERAPRM11051,AKG INFRATECH PVT LTD,"2nd Floor Super Shopping Centre, Faizabad Road, Lucknow",9935329007,RERA.AKG@GMAIL.COM,http://www.up-rera.in/,Company
114,UPRERAPRM110605,Radhe Kunj,"Near Baroda kshatriya Gramin Bank, Roshanganj, Shahjahanpur",9415500000,manishreligare@gmail.com,http://www.thecalmhomes.com/,Partnership Firm
115,UPRERAPRM11064,AQAMA BUILDERS & DEVELOPERS LIMITED,23LEADER ROAD ALLAHABAD UTTAR PRADESH UP 211003,9415217624,aqamabuilder786@gmail.com,,Company
116,UPRERAPRM1109,EXCELLA INFRAZONE LLP,"B-2/345, Vikas Khand, Gomti Nagar, Lucknow-226010",7571811111,info@excellainfra.in,https://www.up-rera.in/www.excellainfra.in,Company
117,UPRERAPRM11093,Pavitra Conbuild Private limited,"Registered Office Address- FF-009, Alpha-1 NQI Golf Course Plaza, NOIDA, Gautam Buddha Nagar, UP - 201306, Corporate Office Address- FF-009, Alpha-1 NQI Golf Course Plaza, NOIDA, Gautam Buddha Nagar, UP - 201306, Site Address- Opposite Columbia Asia Hospital, Jaipuria Sunrise Greens, Village Shahpur, Bahmehta, Ghaziabad, UP.",9999250001,ruchiragroup@gmail.com,https://www.up-rera.in/WWW.RUCHIRAGROUP.COM,Company
118,UPRERAPRM11111,SARAS INFRABUILDCON PRIVATE LIMITED,"Near Darpan Advertisers, Opp. KabirMandirSitapur Road, Lucknow-226 010, Uttar Pradesh, India.",9696181877,dolphinenclave@gmail.com,,Company
119,UPRERAPRM11122,RAM MEHER INFRADEVELOPERS PRIVATE LIMITED,"26/257 SULTANGANJ, CHAWAL WALA BAGH , AGRA-282004",9837991888,rmidltd@gmail.com,https://www.up-rera.in/www.rammeherinfrabuild.com,Company
