Name,Address,Email,Phone Number
PANCH TATVA PROMOTERS PRIVATE LIMITED,"Unit No. 105, First Floor, Vardhman's Sidhant- Shopping Plaza, LSC, Savita Vihar, East Delhi, Delhi-110092,DELHI ,delhi,EAST DELHI ,110092",sawasdeegemsrera@gmail.com,7011751439
NBCC INDIA LIMITED,"NBCC INDIA LTD NBCC BHAWAN, LODHI ROAD,SOUTH DELHI,,,",sales.nauroji@nbccindia.com,8450971027
PARIVAR PROPERTIES PVT. LTD.,"12, RING ROAD, LAJPAT NAGAR-IV, NEW DELHI - 110024,LAJPAT NAGAR-IV,delhi,NEW DELHI,110024",arunverma@globalrealty.co.in,8373912274
COUNTY PROJECTS PRIVATE LIMITED,"Registered Office Address- F-28, GROUND FLOOR, PREET VIHAR,, DELHI - 110092. Corporate Office Address- A-39, Sector -63, Noida, U.P., PIN-201301. Site Address- Plot No.-2, and G-4, District Centre, Netaji Subash Place, Delhi, PIN- 110034 ,Delhi,delhi,East Delhi,110092",rera4@countygroup.in,9899999290
NBCC INDIA LIMITED,"NBCC INDIA LTD NBCC BHAWAN, LODHI ROAD,SOUTH DELHI,,,",sales.nauroji@nbccindia.com,8450971027
PARSVNATH LANDMARK DEVELOPERS PVT. LTD.,"Parsvnath Tower Near Shahdara Metro Station Shahdara DELHI – 110032,Shahdara,delhi,Shahdara,110032",rera@parsvnath.com,9205809569
PARSVNATH LANDMARK DEVELOPERS PVT. LTD.,"Parsvnath Tower Near Shahdara Metro Station Shahdara DELHI – 110032,Shahdara,delhi,Shahdara,110032",rera@parsvnath.com,9205809569
DLF URBAN PRIVATE LIMITED,"15, Shivaji Marg, New Delhi, Delhi-110015 ,New Delhi,delhi,Delhi,110015",rera@dupl.in,89290 53369
DELHI MUNICIPAL PRESS CO-OPERATIVE GROUP HOUSING SOCIETY LTD,"DELHI MUNICIPAL PRESS C.G.H.S LTD. PLOT NO.29A, SECTOR-10, DWARKA, NEW DELHI-110075,DWARKA,delhi,SOUTH-WEST,110075",dmpcghsdwarka@gmail.com,9811069821
OMAXE LIMITED,"SHOP NO-19-B, FIRST FLOOR OMAXE CELEBRATION MALL, SOHNA ROAD GURGAON ,Gurgaon,haryana,Gurgaon,122001",rera_delhi@omaxe.com,9999999316
HIPTAGE INFRASTRUCTURE PRIVATE LIMITED,"216-B, DEVIKA TOWER 6, NEHRU PLACE,NEW DELHI,delhi,SOUTH DELHI,110019",info@pragatigroup.in,"9899423481, 8527144403"
BI LUXURY RESIDENCES PVT. LTD.,"54 Janpath ,NEW DELHI,delhi,DELHI,110001",sb@bipgroup.com,9810000000
INDIAN STATISTICAL INSTITUTE CO-OP GROUP HOUSING SOCIETY LTD.,"Plot No. 07, Co-op. Group Housing Societies Complex, Dhirpur Phase-1, Delhi – 110009 ,Delhi,delhi,Delhi,110009",isicghsltd@yahoo.com,9582117737
SARV PRIYA MAHAJAN CGHS,"202 VARDHMAN AVON SHOPPING PLAZA C BLOCK MARKET SARASWATI VIHAR PITAMPURA,DELHI,delhi,NORTH WEST,110034",satishchanderaggarwal@yahoo.in,9810716335
MAHARISHI DAYANAND CO-OPERATIVE GROUP HOUSING SOCIETY LTD,"B-4 (Adjoining B-5 & B-6, DDA Flats) Vasant Kunj,New Delhi,delhi,South-West Delhi,110070",mdcghs1175@gmail.com,9811816791
A P REAL ESTATES,"715,7th Floor, P P Trade Centre, P-1, Netaji Place,Pitampura, Delhi,New Delhi,delhi,north west,110034",apwonder465@gmail.com,9711232765
M K S TOWERS INTERNATIONAL PRIVATE LIMITED,"1110, 11th Floor, D-Mall, District Centre Wazirpur Netaji Subhash Place,Pitampura,delhi,North West Delhi,110034",INFO@MKSVENTURES.IN,9599998111
BRILLIANT ETOILE PRIVATE LIMITED,"B-71, FLATTED FACTORY COMPLEX, OKHLA-III, MODI MILL,SOUTH DELHI,delhi,SOUTH DELHI,110020",raghvendera@risland.com,9871717863
PARSVNATH DEVELOPERS LIMITED,"Parsvnath Tower, Near Shahdara Metro Station Shahdara ,Shahdara,delhi,Shahdara,110032",rera@parsvnath.com,9205809569
BASANT PROJECTS LIMITED,"G-3, AGGARWAL CORPORATE TOWER, 23, DISTT. CENTRE, RAJENDRA PLACE,DELHI,delhi,CENTRAL,110008",basant_rera4@unitygroup.in,9968117566
RAHEJA DEVELOPERS LIMITED,"W4D, 204/5, Keshav Kunj, Cariappa Marg, Western Avenue, Sainik Farms,New Delhi,delhi,Delhi,110062",shreya.goel@raheja.com,9971091904
PURI BUILDWELL PRIVATE LIMITED,"Plot No. 13, Pocket C-9, Sector -7, Rohini,Delhi,delhi,Delhi,110085",puribuildwell@yahoo.com,9811418997
PRATHAM INFRATECH PRIVATE LIMITED,"Ground Floor, Metro Station Box, Sector-12, Dwarka, New Delhi - 110075,",info@vegasmall.in,011-48584400
M/S MADHYAM HOUSING PVT. LTD.,"B-2/6, Plot No. 2, Ashok Nagar, DB Gupta Road, Near Faiz Chowk, Karol Bagh, New Delhi - 110005",madhyamcoinfo@gmail.com,9643107370
WORLD STREET SPORTS CENTER,"plot no 14 jasola behind applo hospital ,Delhi,delhi,Delhi,110025",dwarka_rera@omaxe.com,9999999316
CRA DEVELOPERS LLP,"B-26, Aravali Kunj Apartment, Sector - 13 Rohini,Delhi,delhi,North West,110085",pawan.sagar@cradevelopers.com,9650754006
CRA DEVELOPERS LLP,"B-26, Aravali Kunj Apartment, Sector - 13 Rohini,Delhi,delhi,North West,110085",pawan.sagar@cradevelopers.com,9650754006
BDR BUILDERS AND DEVELOPERS PRIVATE LIMITED,"C-43, LGF, JANGPURA EXTENSION,NEW DELHI,delhi,SOUTH EAST,110014",shreyanshguptabdr@gmail.com,09910754359
MERU RESORTS LLP,"G-75, AGGARWAL MILLENIUM TOWER-II, NETAJI SUBHASH PALACE, PITAMPURA,DELHI,delhi,NORTH WEST,110034",merurealtors@gmail.com,8860066800
ASTEROID SHELTERS HOMES PRIVATE LIMITED,"UNIT NO. 105, FIRST FLOOR, VARDHMAN'S SIDHANT- SHOPPING PLAZA, LSC, SAVITA VIHAR, EAST DELHI, DELHI-110092 ,DELHI ,delhi,EAST DELHI ,110092",noveltystreetrera@gmail.com,7011751439
DINESH GUPTA,"7, Mani Prabha Sector D Vasant Kunj,Delhi,delhi,south,110070",nishantgupta1974@gmail.com,9999744467
NORTHERN INDIA PAINT COLOUR AND VARNISH CO. LLP,"20 A RAJPUR ROAD, CIVIL LINES, DELHI-110054,DELHI,delhi,NORTH DELHI,110054",rizononerera@gmail.com,9899997199
KLICK INDIA REALITY ASSOCIATES PVT LTD,"D-16 Udyog Nagar, Rohtak Road,New Delhi,delhi,West Delhi,110041",atulmittalLP@gmail.com,9810802436
BDR BUILDTECH PRIVATE LIMITED,"21, RING ROAD THIRD FLOOR FRONT PORTION LAJPAT NAGAR IV SOUTH DELHI-110024 DELHI,South East,delhi,SOUTH DELHI,110024",rajesh393@gmail.com,9810031551
BDR BUILDERS AND DEVELOPERS PRIVATE LIMITED,"C-43, LGF, JANGPURA EXTENSION,NEW DELHI,delhi,SOUTH EAST,110014",shreyanshguptabdr@gmail.com,09910754359
NBCC (INDIA) LIMITED,"NBCC Bhawan, Lodhi Road New Delhi,New Delhi,,,",nbccavn@gmail.com,8527559481
NBCC INDIA LIMITED,"NBCC INDIA LTD NBCC BHAWAN, LODHI ROAD,SOUTH DELHI,,,",sales.nauroji@nbccindia.com,8450971027
NBCC INDIA LIMITED,"NBCC INDIA LTD NBCC BHAWAN, LODHI ROAD,SOUTH DELHI,,,",sales.nauroji@nbccindia.com,8450971027
INFRATECH FORCE LLP,"PLOT NO. 3, 3RD FLOOR VILLAGE MALIKPUR CHHAONI BLOCK B MODEL TOWN DELHI North West DL 110009 IN,MODEL TOWN,delhi,NORTH WEST,110009",abhinav@pristinelegal.com,8588081414
BDR BUILDERS AND DEVELOPERS PRIVATE LIMITED,"C-43, LGF, JANGPURA EXTENSION,NEW DELHI,delhi,SOUTH EAST,110014",shreyanshguptabdr@gmail.com,09910754359
DELHI DEVELOPMENT AUTHORITY,"Office Of The Executive Engineer DPD-5/DDA, B2B Block, Janakpuri, New Delhi-110058,South West Delhi,,,",eewd13@gmail.com,8800141239
DELHI DEVELOPMENT AUTHORITY,"EE/NMD-3/DDA Munim ji ka bagh narela Delhi 110040.,Narela,,,",eend4dda@gmail.com,8130407234
DELHI DEVELOPMENT AUHTORITY,"DELHI DEVELOPMENT AUTHORITY VIKAS SADAN, NEW DELHI,NORTH EAST DELHI,delhi,NORTH EAST DELHI,110023",eesed1dda@gmail.com,7011157572
DELHI DEVELOPMENT AUTHORITY,"Room no 31 Central nursery Sector 5 Dwarka ,Dwarka New Delhi,,,",wd8dda@gmail.com,9868533888
DELHI DEVELOPMENT AUTHORITY,"O/o Executive Engineer, NPD-2, DDA Office Complex, Munim ji ka Bagh, Narela,Narela,,,",eend12ddanz@gmail.com,9810822278
DELHI DEVELOPMENT AUTHORITY,"D2 Vasant Kunj New Delhi - 110070,South West Delhi,,,",ddased7@gmail.com,9999683180
DELHI DEVELOPMENT AUTHORITY,"SED-8 DDA A-14 KALKAJI EXTENSSION NEW DELHI-110019,SOUTH EAST DELHI,,,",spd4dda@gmail.com,9910221966
DELHI DEVELOPMENT AUTHORITY,"SD-2 DDA A-14 KALKAJI EXTENSSION NEW DELHI-110019,SOUTH EAST DELHI,,,",spd3.dda@gmail.com,9868833147
DELHI DEVELOPMENT AUTHORITY,"DDA Office Complex Near TV tower Pitampura,Delhi,,,",northerndivision9@gmail.com,9873587392
DLF MIDTOWN PRIVATE LIMITED,"15, Shivaji Marg,Shivaji Marg,delhi,West District,110015",rera.pragati@dmtpl.in,9711183804
PANCH TATVA PROMOTERS PRIVATE LIMITED,"Unit No. 105, First Floor, Vardhman's Sidhant- Shopping Plaza, LSC, Savita Vihar, East Delhi, Delhi-110092,DELHI ,delhi,EAST DELHI ,110092",sawasdeegemsrera@gmail.com,7011751439
ASTEROID SHELTERS HOMES PRIVATE LIMITED,"UNIT NO. 105, FIRST FLOOR, VARDHMAN'S SIDHANT- SHOPPING PLAZA, LSC, SAVITA VIHAR, EAST DELHI, DELHI-110092 ,DELHI ,delhi,EAST DELHI ,110092",noveltystreetrera@gmail.com,7011751439
NBCC INDIA LIMITED,"NBCC INDIA LTD NBCC BHAWAN, LODHI ROAD,SOUTH DELHI,,,",sales.nauroji@nbccindia.com,8450971027
NBCC INDIA LIMITED,"NBCC INDIA LTD NBCC BHAWAN, LODHI ROAD,SOUTH DELHI,,,",sales.nauroji@nbccindia.com,8450971027
COUNTY PROJECTS PRIVATE LIMITED,"Registered Office Address- F-28, GROUND FLOOR, PREET VIHAR,, DELHI - 110092. Corporate Office Address- A-39, Sector -63, Noida, U.P., PIN-201301. Site Address- Plot No.-2, and G-4, District Centre, Netaji Subash Place, Delhi, PIN- 110034 ,Delhi,delhi,East Delhi,110092",rera4@countygroup.in,9899999290
ECHO BUILDTECH PRIVATE LIMITED,"E-4, Defence Colony, New Delhi South Delhi DL 110024 IN,South Delhi,delhi,South Delhi,110024",reranoticeecho@gmail.com,9530015118
NBCC INDIA LIMITED,"NBCC INDIA LTD NBCC BHAWAN, LODHI ROAD,SOUTH DELHI,,,",sales.nauroji@nbccindia.com,8450971027
PARSVNATH LANDMARK DEVELOPERS PVT. LTD.,"Parsvnath Tower Near Shahdara Metro Station Shahdara DELHI – 110032,Shahdara,delhi,Shahdara,110032",rera@parsvnath.com,9205809569
GODREJ PROJECTS NORTH LLP,"Godrej One, 5th Floor, Pirojshanagar, Eastern Express Highway, Vikhroli (E), Mumbai. ,Vikroli,maharastra,Mumbai,400079",Godrejprojectsnorthllp@gmail.com,8800010790
BOUNTIFUL INFRAPROJECTS PRIVATE LIMITED,"UNIT NO 105, FIRST FLOOR, VARDHMAN'S SIDHANT SHOPPING PLAZA, LSC SAVITA VIHAR , DELHI 110092,DELHI ,delhi,EAST DELHI ,110092",sawasdee18rohini@gmail.com,7011751439
UNITY BUILDWELL LIMITED,"G3, AGGARWAL CORPORATE TOWER, PLOT NO.23, DISTRICT CENTRE RAJENDRA PLACE,NEW DELHI,delhi,CENTRAL,110008",ubl_rera@unitygroup.in,9968117566
PARSVNATH REALCON PRIVATE LIMITED,"Parsvnath Tower Near Shahdara Metro Station Shahdara,Shahdara,delhi,Shahdara,110032",rera@parsvnath.com,9205809569
BEST REALTY LLP,"2nd floor, 201, Plot No. H-8, Best Plaza, Netaji Subhash Place, Pitampura,North West Delhi,delhi,Delhi,110034",info@bestfield.co.in,9888464646
THE HAMDAM C.G.H.S. LTD.,"PLOT NO 7, SECTOR 18A, DWARKA, NEW DELHI,DWARKA,delhi,SOUTH WEST,110075",sackum2010@gmail.com,9818457132
INDOTECH INFRACON PRIVATE LIMITED,"12, C D, 2nd Floor, Vasant Square Mall, B 5 Vasant Kunj, New Delhi 110070 ,Vasant Kunj,delhi,Vasant Kunj,110070",combomind@gmail.com,7905837446
OMAXE HERITAGE PRIVATE LIMITED ( F.K.A. ANSH BUILDERS PRIVATE LIMITED),"10 LOCAL SHOPPING CENTRE KALKAJI,NEW DELHI,DELHI,delhi,DELHI,110019",rera@omaxe.com,9999999316
GODREJ VESTAMARK LLP,"Godrej One, 5th Floor, Pirojshanagar, Eastern Express Highway, Vikhroli (East),Mumbai,maharastra,Mumbai,400079",godrejokhla@godrejproperties.com,8800010790
THE BHAGWATI CGHS LTD,"Plot No-1A , Sector-22, Dwarka , New Delhi,South West Delhi,delhi,South West Delhi,110077",bhagwati_cghs@rediffmail.com,9910933811
ANTARCTICA PROPERTIES COMPANY LIMITED.,"PLOT NO. 4B, MAYUR VIHAR DISTRICT CENTER PHASE-I EXTENSION,delhi,delhi,Delhi,110091",propertiesantarctica@gmail.com,9999359873
RAHEJA DEVELOPERS LIMITED,"W4D, 204/5, Keshav Kunj, Cariappa Marg, Western Avenue, Sainik Farms,New Delhi,delhi,Delhi,110062",shreya.goel@raheja.com,9971091904
BASANT PROJECTS LIMITED,"G-3, AGGARWAL CORPORATE TOWER, 23, DISTT. CENTRE, RAJENDRA PLACE,DELHI,delhi,CENTRAL,110008",basant_rera4@unitygroup.in,9968117566
BASANT PROJECTS LIMITED,"G-3, AGGARWAL CORPORATE TOWER, 23, DISTT. CENTRE, RAJENDRA PLACE,DELHI,delhi,CENTRAL,110008",basant_rera4@unitygroup.in,9968117566
PUREARTH INFRASTRUCTURE LTD.,"6TH FLOOR, VIKRANT TOWER, 4 RAJENDRA PLACE,CENTRAL,delhi,CENTRAL,110008",admin@purearth.in,9810501816
TIRATH RAM AHUJA PRIVATE LIMITED,"B-II/49, MOHAN CO-OPERATIVE INDL. AREA, BADARPUR,NEW DELHI,delhi,SOUTH DELHI,110044",account@traengineers.com,01141094982
GEMSTAR BUILDERS & DEVELOPERS PRIVATE LTD.,"A-23, 3rd Floor, Green Park Main, New Delhi - 110016",gemstarbuilders@gmail.com,011-41745442
M/S UMANGREALTECHPVT. LTD,"B -72, 7th Floor, Himalaya House, 23 Kasturba Gandhi Marg, New Delhi - 110001,",info@umangrealtech.com,011-33685700
