Sr No,Project Name,Promoter Name,Address,Project Type,Email,Phone,Approval ID,City,Start Date,End Date,Remarks
14,ARSHAD MERIDIAN,blue diamond corporation,"1 MENA GURJARI SOCIETY P.T.COLLEGE ROAD, PALDI Ahmedabad 380007",Residential/Group Housing,bluediamond9327@gmail.com,9825034488,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00571/EX1/020319,Ahmedabad,01-11-2017,31-03-2018,31-03-2019
15,THE OTHERSIDE,SHANTIKRUPA ESTATES PRIVATE LIMITED,"901, MILESTONE BLDG DRIVE IN ROAD, THALTEJ Ahmedabad 380054",Residential/Group Housing,info@shantikrupa.com,9909985402,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00986/EX4/A1R/260523,Ahmedabad,12-12-2017,31-12-2019,31-12-2023
16,ADITYA OASIS,J P Developers,"Nr. Indira Nagar, Lambha Village, nr. Lambha Lake Ahmedabad 382405",Mixed Development,adityaoasis@gmail.com,9712997759,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01207/040118,Ahmedabad,04-01-2018,31-12-2019,NA
17,"Takshashila Eco Green & Gallaria Mall, Phase-1",Takshashila Realties Pvt Ltd,"Ground Floor, Block-A, Manav Mandir Flat, Old Aradhana Vidhyalay Cross Road Maninagar,Ahmedabad Ahmedabad 380008",Mixed Development,hmparikh@takshashilarealties.com,8140559197,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA03338/300818,Ahmedabad,30-08-2018,30-06-2021,NA
18,ABHAY RATNA SHINE,Ashokkumar Nahar (Proprietor of Abhay Ratna Developers),"B/2 Nilam Park Anand Bunglows Nr Hetvi Tower, 100 ft Prahladnagar Road, Satelite Ahmedabad 380015",Residential/Group Housing,abhayratnashinerera@gmail.com,8200798615,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00783/EX1/150918,Ahmedabad,21-11-2017,30-11-2017,30-11-2018
19,RADHE RESIDENCY,VINAYAK DEVELOPERS,RADHE RESIDENCY CHILODA ROAD Ahmedabad 382355,Mixed Development,vinayakdevelopers2007@yahoo.co.in,9825324321,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01250/080118,Ahmedabad,08-01-2018,05-05-2019,NA
20,"Prakruti Residency (Block no. C+D, E+F and G)",Yamuna Corporation,"Prakruti Residency, Near Shreenath Bungalows, Mahadevnagar Tekra, Vastral Road, Ahmedabad-382418 Ahmedabad 382418",Mixed Development,pushkarhill9207@gmail.com,9879619207,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA01813/010318,Ahmedabad,01-03-2018,30-09-2018,NA
21,DIVYAPUNJ BUNGALOWS,Ashapura Infratech Private Limited,"B-403 Millenium Plaza,opp. Swaminarayan Temple Vastrapur,Ahmedabad-380015. Ahmedabad 380015",Residential/Group Housing,ashapura.infratech1@gmail.com,9712936271,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01032/161217,Ahmedabad,16-12-2017,30-09-2018,NA
22,GOVARDHAN GALAXY,GALAXY MALL PRIVATE LIMITED,"GALAXY HOUSE, OPP DASTAN FARM S.P RING ROAD, KATHWADA Ahmedabad 382330",Residential/Group Housing,nkpatel9626@gmail.com,9879564588,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA04154/EX1/170519,Ahmedabad,28-11-2018,31-01-2019,31-01-2020
23,KESHAV GALAXY,GALAXY MALL PRIVATE LIMITED,"GALAXY HOUSE, NR. DASTAN FARM S.P. RING ROAD, KATHWADA, AHMEDABAD Ahmedabad 382430",Residential/Group Housing,hemang@galaxygroup.info,9979889891,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00606/061117,Ahmedabad,06-11-2017,31-01-2021,NA
24,GALAXY SPECIA,GALAXY MALL PRIVATE LIMITED,"GALAXY HOUSE, NR. DASTAN S.P. RING ROAD, KATHWADA, NARODA, AHMEDABAD Ahmedabad 382430",Residential/Group Housing,hemang@galaxygroup.info,9979889891,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00413/111017,Ahmedabad,11-10-2017,31-07-2020,NA
25,Akanksha,B. Nanji A,"""Moorti Bunglow"", 5, Ashoknagar B/H Sundravan, Satellite Ahmedabad 380015",Residential/Group Housing,akankshabnanji@gmail.com,9327010273,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00930/EX2/010421,Ahmedabad,06-12-2017,31-03-2019,30-06-2021
26,KARNAVATI PLATINUM K9,B K Construction Co. ( Sole Proprietor- Bhisham J Ramani),"17/A, Kamla society, Stadium Road, Navrangpura, Ahmedabad Ahmedabad 380009",Commercial,bhishamramani@yahoo.com,9227227997,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00624/071117,Ahmedabad,07-11-2017,31-03-2018,NA
27,NEELKANTH STATUS,JAYKISHAN B KARDA (PROPRIETOR OF MARUTI CORPORATION),"343,NAYANNAGAR SAIJPUR BOGHA ,KRISHNANAGAR Ahmedabad 382340",Residential/Group Housing,neelkanth555@yahoo.com,9824614552,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01900/060318,Ahmedabad,06-03-2018,31-03-2019,NA
28,Eden I,SHREE SIDDHI INFRABUILDCON LLP,"D-1001, Ganesh Meridian, Opp. Amiraj Farm, New Gujarat High Court ,S.G.Highway, Ahmedabad 380060",Residential/Group Housing,nikitpatel@shreesiddhi.co.in,9825010981,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00114/080917,Ahmedabad,08-09-2017,28-08-2018,NA
29,SWAMINARAYAN PARK NARODA,DHARMADEV INFRASTRUCTURE LIMITED,"DHARMADEV HOUSE SHYAMAL CROSS ROAD, SATELLITE Ahmedabad 380015",Mixed Development,sp2narolrera@gmail.com,9099907478,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA02096/210318,Ahmedabad,21-03-2018,30-06-2022,NA
30,TULSI RESIDENCY,SHAKTI CORPORATION,"TULSI RESIDENCY, NEAR SARAL PARIVESH IOC TO RING ROAD ,100 FEET ROAD, NEW CHANDKHEDA Ahmedabad 382424",Mixed Development,khushirutul1@yahoo.co.in,9824777966,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00122/110917,Ahmedabad,11-09-2017,30-06-2019,NA
31,Ganesh Genesis,Shiv Siddhi Corporation,"D-1001/1002, Ganesh Meridian Nr. New Gujarat High Court, S.G.Highway, Ahmedabad 380060",Residential/Group Housing,info@shreesiddhi.co.in,9979999141,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00515/EX1/201218,Ahmedabad,23-10-2017,28-12-2017,27-12-2018
32,Ratnaakar Beaumonde,Nishant Construction Private Limited,"801-802 Regency Plaza, Anandnagar Crossroads Satellite Ahmedabad 380015",Residential/Group Housing,rera@ratnaakar.com,9979851444,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00664/101117,Ahmedabad,10-11-2017,31-03-2018,NA
33,TREZURE ENCLAVE,TAKSHASHILA DHORAJIA INFRASTRUCTURE,"TAKSHASHILA TREZURE ENCLAVE NR. SHILAJ CROSSING, SHILAJ Ahmedabad 380054",Residential/Group Housing,shaileshdhorajia@yahoo.com,9426502365,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA02269/050418,Ahmedabad,05-04-2018,30-06-2021,NA
34,HIMALAYA ELANZA & HIMALAYA BUSIESS CENTRE,HIMALAYA ELANZA PVT. LTD.,"B-412, HIMALAYA ARCADE, OPP LAKE, VASTRAPUR, AHMEDABAD Ahmedabad 380015",Mixed Development,admin@himalayamall.net,9099099459,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA04673/110119,Ahmedabad,11-01-2019,30-06-2021,NA
35,THE OTHERSIDE,SHANTIKRUPA ESTATES PRIVATE LIMITED,"901, MILESTONE BLDG DRIVE IN ROAD, THALTEJ Ahmedabad 380054",Residential/Group Housing,info@shantikrupa.com,9909985402,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA06528/EX2/A1R/260523,Ahmedabad,30-12-2019,30-09-2021,30-09-2023
36,"Water Lily Ph-2 (Towers-C1,C2,C3,C4)",Adani Township and Real Estate Company Private Limited,"Atreco House, CBD-Shantigram, Nr.Vaishnodevi Circle, S.G.Highway, Ahmedabad 382421",Residential/Group Housing,waterlily-2@adani.com,9099995963,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01521/030218,Ahmedabad,03-02-2018,30-06-2018,NA
37,"Water Lily Ph-4 (Towers - C5,C6,C11,C12)",Adani Township and Real Estate Company Private Limited,"Atreco House, CBD-Shantigram, Nr.Vaishnodevi Circle, S.G.Highway, Ahmedabad 382421",Residential/Group Housing,waterlily-4@adani.com,9099995963,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01511/030218,Ahmedabad,03-02-2018,30-06-2018,NA
38,"Water Lily Ph-3 (Towers-A6,A7)",Adani Township and Real Estate Company Private Limited,"Atreco House, CBD-Shantigram, Nr.Vaishnodevi Circle, S.G.Highway, Ahmedabad 382421",Residential/Group Housing,waterlily-3@adani.com,9099995963,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00576/021117,Ahmedabad,02-11-2017,31-12-2017,NA
39,"MEADOWS PHASE-2 (TOWER - D,E&F)",Adani Township and Real Estate Company Private Limited,"Atreco House, CBD-Shantigram, Nr.Vaishnodevi Circle, S.G.Highway, Ahmedabad 382421",Residential/Group Housing,meadows-2@adani.com,9099995963,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA01519/030218,Ahmedabad,03-02-2018,30-06-2018,NA
40,"MEADOWS PHASE I ( Tower A,B&C )",Adani Township and Real Estate Company Private Limited,"Atreco House, CBD-Shantigram, Nr.Vaishnodevi Circle, S.G.Highway, Ahmedabad 382421",Residential/Group Housing,meadows-1@adani.com,9099995963,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA01520/030218,Ahmedabad,03-02-2018,30-06-2018,NA
41,MEADOWS PHASE-4 (TOWER -J&K),Adani Township and Real Estate Company Private Limited,"Atreco House, CBD-Shantigram, Nr.Vaishnodevi Circle, S.G.Highway, Ahmedabad 382421",Residential/Group Housing,meadows-4@adani.com,9099995963,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA01518/030218,Ahmedabad,03-02-2018,30-06-2018,NA
42,SARVOPARI FLORA,BAPASHREE INFRASTRUCTURE PVT LTD,"BASEMENT 28 SAURASTHRA SOCIETY NEAR NEW VIKAS GRUH ROAD, FATEHPURA, PALDI Ahmedabad 380007",Residential/Group Housing,ketan@biplgroup.com,9925000660,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA04291/071218,Ahmedabad,07-12-2018,28-02-2019,NA
43,Suryadarshan Gold Residency,Radhe Shyam Infrastructures,"T-11, Balaji Centre, Opp. Gurukul Mandir, Drive-in Road Ahmedabad 380054",Mixed Development,bhavsar_atit@yahoo.com,9824262226,PR/GJ/AHMEDABAD/BAVLA/Others/MAA03957/051118,Ahmedabad,05-11-2018,30-09-2022,NA
44,MANGAL MURTI APPARTMENT,KUNAL KUNTI ASSOCIATES,110 FIRST FLOOR SHIVAM COMPLEX NR ANAND SURGICAL HOSPITAL SAIJPUR BOGHA Ahmedabad 382345,Residential/Group Housing,nkkourani1954@gmail.com,9327010035,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01202/040118,Ahmedabad,04-01-2018,31-12-2018,NA
45,SVASAAR PRAVESH 1,SVASAAR VALUE BUILDERS,FF SUPER MARKET BH HANDLOOM HOUSE ASHRAM ROAD Ahmedabad 380009,Residential/Group Housing,svasaarpravesh11@gmail.com,9426064634,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA03995/EX1/230721,Ahmedabad,06-11-2018,30-06-2021,30-06-2022
46,"MEADOWS PHASE-3 (TOWER - G,H&I)",Adani Township and Real Estate Company Private Limited,"Atreco House, CBD-Shantigram, Nr.Vaishnodevi Circle, S.G.Highway, Ahmedabad 382421",Residential/Group Housing,meadows-3@adani.com,9099995963,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00577/021117,Ahmedabad,02-11-2017,31-12-2017,NA
47,NASIM PARK,NARAYAN N DEVELOPERS,"6, SAROJ CHAMBERS, B/H SALES INDIA, ASHRAM ROAD, AHMEDABAD Ahmedabad 380009",Mixed Development,narayan1030@rediffmail.com,9898975577,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01557/070218,Ahmedabad,07-02-2018,30-09-2018,NA
48,M M KARIM APARTMENTS,M M ASSOCIATES,"SURVEY NO 101,102,103,123,221 PAIKI SP NO 20,21,22,23,24,25,26,27,28,29/B MOUJE GYASPUR, CITY DISTRICT & SUB DISTRICT : AHMEDABAD Ahmedabad 382405",Mixed Development,mmassociate2012@gmail.com,9824760993,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA02836/060618,Ahmedabad,06-06-2018,30-06-2024,NA
49,"GOKUL RESIDENCY (BLOCK A + B, G, H)",SHREEJI DEVELOPERS,"NR. RANCHODNAGAR, VATVA VINZOL ROAD, VATVA Ahmedabad 382440",Residential/Group Housing,ankit.kitu18@gmail.com,9426082739,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01684/190218,Ahmedabad,19-02-2018,31-03-2019,NA
50,Poonam Pride,Vraj Corporation,"B R Developers, 3&4, 2nd Floor, Maruti Acrade, Shivranjani Cross Road, Satellite Ahmedabad 380015",Residential/Group Housing,vrajcorporation2011@yahoo.in,9909009371,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA02979/EX2/270522,Ahmedabad,22-06-2018,30-09-2020,30-09-2022
51,Sarvopari Flora-2,Shree Bhavani Enterprise,"B/H Galaxy 88, Nr.Hanspura Residency, Naroda-Dehgam road Hanspura. Ahmedabad Ahmedabad 382330",Residential/Group Housing,sarvopari.flora2@gmail.com,9662739807,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA04719/220119,Ahmedabad,22-01-2019,31-12-2019,NA
52,ANAND SQUARE,DESAI CORPORATE REALTY AND DEVELOPERS PRIVATE LIMITED,"401, 4TH FLOOR , SURMOUNT BUILDING, NEAR ISCON TEMPLE, S.G.HIGHWAY. Ahmedabad 380054",Mixed Development,accounts@bdesaigroup.com,9909004320,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01819/010318,Ahmedabad,01-03-2018,30-04-2018,NA
53,SHYAM HILLS,SHREE RANG INFRASTRUCTURE PVT LTD,"""SHYAM HOUSE""6, SHIVANAND SOCIETY OPP. VIJAYNAGAR SCHOOL,NARANPURA Ahmedabad 380013",Residential/Group Housing,shyamhillsranip@gmail.com,9825082199,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA02005/150318,Ahmedabad,15-03-2018,31-12-2018,NA
54,Abhishek,B. Nanji A,"""Moorti Bunglow"", 5, Ashoknagar B/H Sundravan, Satellite Ahmedabad 380015",Residential/Group Housing,abhishekbnanji@gmail.com,9327010273,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00797/221117,Ahmedabad,22-11-2017,31-03-2018,NA
55,RASHMI ANGAN,RASHMI ENGICON PRIVATE LIMITED,RASHMI ANGAN SANAND VIRMGAM HIGHWAY SANAND Ahmedabad 382110,Residential/Group Housing,rashmi.co209@gmail.com,9825077185,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA01038/EX2/210622,Ahmedabad,16-12-2017,04-02-2021,04-02-2023
56,MARJAN RESIDENCY,MARJAN BUILDCON,"Near Beduji complex Canal Road, Vatva, Ahmedabad Ahmedabad 382445",Mixed Development,marjanresidency@gmail.com,9537436724,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01812/EX1/190119,Ahmedabad,01-03-2018,30-09-2018,31-03-2019
57,SAVVY SWARAAJ PRAGATI PH-2-2A,SAVVY SIDDHI REALITY & INFRASTRUCTURE LLP,"B-900, SHAPATH-4, OPP: KARNAVATI CLUB S. G. ROAD, PRAHLADNAGAR Ahmedabad 380015",Residential/Group Housing,venkat@savvygroup.in,8980012908,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00497/181017,Ahmedabad,18-10-2017,31-12-2017,NA
58,Advait Residency,Shivam Developers,14 Upvan Bunglows Opp Shyamal 3/B Sattelite Ahmedabad 380051,Residential/Group Housing,minalpatel69@yahoo.com,9825016500,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00926/061217,Ahmedabad,06-12-2017,30-09-2020,NA
59,APPLEWOODS VILLAS,APPLEWOODS ESTATE PRIVATE LIMITED,"Block No. 16, Abhishree Corporate Park, Opp. Swagat Bungalows BRTS Stop, Iscon–Ambli Road, Ahmedabad 380058",Residential/Group Housing,custinfo@applewoods.co.in,9909967486,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00482/A1R/240120,Ahmedabad,17-10-2017,01-02-2029,NA
60,ANANDBAUG,SHAKTI DEVELOPERS,"ANANDBAUG, SURVEY NO.- 655, 657/2, F.P. - 512 , T.P - 114 , VASTRAL GAM ROAD, Ahmedabad 380043",Residential/Group Housing,anandbaug56@gmail.com,9898753924,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA02463/230418,Ahmedabad,23-04-2018,30-09-2019,NA
61,OUM ORBIT,SHANTI INFRASTRUCTURE,"406, MAURYANSH ELANZA, NR. PAREKH HOSPITAL SHYAMAL CROSS ROAD, SATELLITE Ahmedabad 380015",Residential/Group Housing,shantiinfrastructure@yahoo.com,9998970161,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10602/290822,Ahmedabad,29-08-2022,31-03-2024,NA
62,AMAN RESIDENCY,M & Y DEVELOPERS,"SURVEY/BLOCK NO. 517, AMAN PARK, OPP. SAMEERA RESIDENCY, NR. VISHALA CIRCLE, JUHAPURA Ahmedabad 380055",Residential/Group Housing,mydevelopers2020@gmail.com,9099811147,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01496/030218,Ahmedabad,03-02-2018,31-12-2020,NA
63,78@Gokuldham,Tesla Properties LLP,"Sera 13, Gandhibaug Society Opp. Nirman Bhavan, Law Garden Ahmedabad 380006",Residential/Group Housing,78gkdm@gmail.com,9825061244,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00007/EX1/040321,Ahmedabad,23-08-2017,01-02-2021,01-02-2022
64,ASTHA VIHAR (Block A+D),Astha Developers,"Astha 2 Complex, Opp Madhav School, Vastral, Ahmedabad Ahmedabad 382418",Residential/Group Housing,bnprojects007@gmail.com,9727752880,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA01682/170218,Ahmedabad,17-02-2018,28-07-2019,NA
65,SHANTIPUJYA HOMES,THE DEVYUG DEVELOPERS,"B,1-MAGANKAKA PARK NR.CHANDLODIA OVER BRIDGE,CHANDLODIA Ahmedabad 382481",Mixed Development,santipujyarera@gmail.com,9586703030,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01839/EX2/201121,Ahmedabad,03-03-2018,31-12-2019,31-03-2022
66,NIRMIT FLORA,SHREE HARI DEVELOPERS,"NIRMIT FLORA, OPP.SUKRUTI BUNGLOWS, AHMEDABAD SANAND ROAD, SANAND, AHMEDABAD. Ahmedabad 382110",Mixed Development,nirmitflora@gmail.com,8469010999,PR/GJ/AHMEDABAD/SANAND/AUDA/MAA03280/300718,Ahmedabad,30-07-2018,08-09-2018,NA
67,BELLEVILLA BUNGLOWS,ISHWAR ENTERPRISE,BELLEVILLA BUNGLOWS VINZOL Ahmedabad 382445,Residential/Group Housing,bellevilla2012@gmail.com,9979591998,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01287/110118,Ahmedabad,11-01-2018,31-12-2018,NA
68,NIRMIT SQUARE,GIRNAR PROJECTS PRIVATE LIMITED,"S.P.No.1, Girnar Scooter Compund Nr. Vepari Maha Mandal, Odhav Ahmedabad 382410",Commercial,nirmitsquarerera@gmail.com,9924444301,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA04099/EX1/220121,Ahmedabad,22-11-2018,30-12-2020,30-12-2021
69,SHREE PRAYOSHA RESIDENCY,SHREE VALLABH ASSOCIATE,"SHOP NO 1,2, SHREE PRAYOSHA RESIDENCY S P RING ROAD, HATHIJAN CIRCLE, VINZOL Ahmedabad 382445",Mixed Development,shreevallabhasso@gmail.com,9825098059,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA04037/EX2/211021,Ahmedabad,15-11-2018,31-12-2019,30-06-2022
70,ASTHA HOMES,B N Projects Private Limited,"32, Nirant Park House, Opp Sun & Step Club, Thaltej, Ahmedabad 380059",Residential/Group Housing,bnprojects007@gmail.com,9727752880,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA01685/190218,Ahmedabad,19-02-2018,31-03-2018,NA
71,VRAJ VILLA,PRAKASH DEVELOPERS,"Vrajvilla,200 ft. Ring Road, Vastral Ahmedabad 382418",Residential/Group Housing,maheshpatel_192@yahoo.co.in,9426012367,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01554/070218,Ahmedabad,07-02-2018,31-03-2018,NA
72,SANKALP GREENS,SHREE SHAKTI REALTY PRIVATE LIMITED,"F/38/538, SAGAR APPARTMENT OPP BHAVSAR HOSTEL Ahmedabad 380013",Residential/Group Housing,info@shaktirealty.co.in,9879302088,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA02981/EX2/080920,Ahmedabad,22-06-2018,31-12-2018,31-12-2020
73,ATRIA BUSINESS ZONE,SHYAM BUILDCON,"ATRIA BUSINESS ZONE OPP. ARAVIND MILL,ASARWA, AHMEDABAD Ahmedabad 380016",Commercial,atriabusinesszone@gmail.com,9998720159,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA02390/EX1/180619,Ahmedabad,17-04-2018,01-12-2018,01-12-2019
74,NILKANTH RESIDENCY,NAVDURGA CORPORATION,KATHWADA GAM DRASKOI Ahmedabad 382430,Mixed Development,nilkanthresidency@gmail.com,9998168915,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA03969/A1M/EX1/150321,Ahmedabad,05-11-2018,29-01-2021,25-01-2022
75,NILKANTH RESIDENCY,PALLAV D PATEL & LOVE D PATEL IS JOIN PROPERTY HOLDERS,"NILKANTH RSIDENCY ,SARDAR CHOWK SAIJPUR BOGHA Ahmedabad 382346",Mixed Development,nilkanth3239@gmail.com,9825132390,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA02685/160518,Ahmedabad,16-05-2018,30-06-2018,NA
