Project Name,Registration Number,Project Type,Contact Number,Contact Email,Estimated Cost of Construction (in lacs),Estimated Cost of Land (in lacs)
CI ESTATE,P-BPL-17-158,Ongoing,9893949498,cibuilders08@gmail.com,3718.01,2499.21
WESTERN COURTYARD - PHASE 2,P-BPL-17-163,Ongoing,9893028468,info@westerngroup.co.in,55900000.00,
FAITH RICHMONT HEIGHT,P-BPL-17-164,Ongoing,9826723409,faithbuildbhopal@gmail.com,503.00,221.00
LAKE PEARL SPRING PHASE-3,P-BPL-17-166,Ongoing,9826014898,wasiq40@yahoo.co.in,1088.47,25.18
PALACE ORCHARD V PHASE-2,P-BPL-17-168,Ongoing,9826030403,swadeshdb@yahoo.co.in,465.00,123.17
RAMAYAN SOUTH AVENUE PHASE I,P-BPL-17-173,Ongoing,9039059944,RAMAYANBUILDERS@GMAIL.COM,410.00,340.39
"PREMIER ORCHARD, PHASE-3 &AMP; 4",P-BPL-17-180,Ongoing,8889986662,jainabhishek.mail@gmail.com,2463.48,2084.22
SWASTIK GRAND PHASE II,P-BPL-17-181,Ongoing,9425017110,,1549.30,550.00
SHUBH EASTER,P-BPL-17-182,Ongoing,9981997004,sriombuilder@gmail.com,73125000.00,42500000.00
SILVER ESTATE VERTICA PHASE II,P-BPL-17-183,Ongoing,9826051759,neerajmacker@mackerrealventures.com,798.19,201.60
SAGAR BUNGALOWS,P-BPL-17-187,Ongoing,9826088474,sb.agrawalconstruction@gmail.com,864.65,37.62
KALYANI KUNJ TOWERS,P-BPL-17-191,Ongoing,9826740191,kalyani.infrast@yahoo.com,0.01,
MAHA LAXMI PARISAR,P-BPL-17-197,Ongoing,9826443671,rkparmar999@gmail.com,171.35,43.18
KANTA SHRAWAN JYOTI,P-BPL-17-201,Ongoing,9425302973,shrawanhomes@gmail.com,4015.00,3286.00
MADHURAM HEIGHT,P-BPL-17-206,New,9993443259,opk07@yahoo.com,1675.00,610.24
OJASWI DIVYAM,P-BPL-17-209,Ongoing,9575452028,ojaswibuilders@gmail.com,0.01,
FORTUNE SOUMYA ATLANTIS PHASE 3,P-BPL-17-214,Ongoing,9826021986,fortunesoumyarera@rediffmail.com,,
DWARKAJI SUKHAD,P-BPL-17-221,Ongoing,9229376204,vijaysingh281154@gmail.com,638.09,507.69
CENTURION SKY,P-BPL-17-222,Ongoing,9826329521,ajay_bhopal@hotmail.com,,
BHAGWAN PARISAR,P-BPL-17-224,Ongoing,9425011274,rajendrasinghkushwah167@gmail.com,2505.86,47.92
AUGUSTUS PHASE II,P-BPL-17-225,Ongoing,9300050000,sanjeevsingh@belief.co.in,1357.31,38.79
DRISHTI CITY EWS,P-BPL-17-228,Ongoing,9303137170,drishtioffset@gmail.com,68.07,1.19
GALAXY CITY PHASE II/B,P-BPL-17-235,Ongoing,9977255837,wazirbuildcon@gmail.com,837.52,839.00
RUBY BHAGWAN ESTATE,P-BPL-17-236,Ongoing,9826050638,sureshsharma1969@gmail.com,96763485.00,10800000.00
INDUS REGENCY PHASE II,P-BPL-17-241,Ongoing,9826423781,induscolonisers9@gmail.com,2142.00,91.00
OLIVE,P-BPL-17-242,Ongoing,9424324000,agnllpgwl@gmail.com,709.14,71.21
AEROCITY PH-1,P-BPL-17-246,Ongoing,9406565263,info@bda.org.in,26500.00,
SHUBHALAY ESHAN,P-BPL-17-252,Ongoing,9826056007,konarkbhopal@yahoo.com,1607.00,55.60
"SAPPHIRE PARK CITY, KATARA HILLS, BHOPAL",P-BPL-17-261,Ongoing,9406912058,EEDN3HBBPL@MP.GOV.IN,4606.94,300.00
SHIV JANKI VATIKA,P-BPL-17-266,New,9479355537,srealestat@gmail.com,600.00,246.00
HIMANSHU GREENS PHASE 1,P-OTH-17-267,Ongoing,9826043891,HFMBHOPAL@YAHOO.COM,521.00,268.36
PURVANCHAL PARISAR,P-BPL-17-269,Ongoing,9425015779,ravimphousing@gmail.com,945.00,300.00
CRYSTAL GREEN,P-BPL-17-274,Ongoing,9713112999,sbdbpl@gmail.com,0.03,0.02
CORAL CASA PHASE I,P-BPL-17-283,Ongoing,9826030047,BMREALTY2014@GMAIL.COM,1482.07,685.00
PEOPLE&#039;S ENCLAVE PLOTTED RESIDENTIAL PROJECT,P-BPL-17-284,Ongoing,9098793122,cspeoplesgroup@gmail.com,,858.00
KASTURI HEIGHTS,P-BPL-17-296,Ongoing,9893306730,kartikdevcon@gmail.com,1677.28,100.00
DWARIKA PARISAR,P-BPL-17-299,Ongoing,9406912079,rkgitey@gmail.com,6000.00,503.00
LAKSHMI PARISAR,P-BPL-17-301,Ongoing,9926807836,girish_saoji@yahoo.in,2000000.00,12969000.00
ZEN,P-BPL-17-303,New,9300050000,sanjeevsingh@belief.co.in,2223.50,45.00
AFFORDABLE HOUSING SCHEME SALAIYA,P-BPL-17-309,Ongoing,9406565263,vkee2bda@gmail.com,11464.00,
VILLE PANACHE,P-BPL-17-312,Ongoing,9826541448,modisanjaybpl@yahoo.co.in,508.00,280.00
SHUBH BUSINESS ZONE,P-BPL-17-324,Ongoing,9826346148,konarkbhopal@gmail.com,1103.92,996.08
GMV OLAAN D PHASE III,P-BPL-17-332,Ongoing,9826045517,project@gmvindia.com,1976.37,12.42
CORAL CASA PHASE II,P-BPL-17-334,Ongoing,9826030047,BMREALTY2014@GMAIL.COM,583.49,328.93
RAJATS GOLDEN NEST- PHASE 3,P-BPL-17-341,Ongoing,9993011020,nayak_rahul@yahoo.com,529.95,36.63
RAJATS GOLDEN NEST- PHASE 2,P-BPL-17-342,Ongoing,9993011020,nayak_rahul@yahoo.com,473.50,40.69
RAJATS GOLDEN NEST- PHASE1,P-BPL-17-343,Ongoing,9993011020,nayak_rahul@yahoo.com,744.57,58.00
SANVI CAMPUS,P-BPL-17-344,Ongoing,9826030047,BMREALTY2014@GMAIL.COM,188.10,120.25
GALAXY CITY PHASE II/A,P-BPL-17-353,Ongoing,9977255837,wazirbuildcon@gmail.com,1642.56,1235.00
DREAMS GLORY PHASE-II,P-BPL-17-362,Ongoing,8817355533,dreams.realty.bhopal@gmail.com,993.54,530.43
SINGAPORE VILLAS,P-BPL-17-373,Ongoing,9827290499,singaporevillas@gmail.com,2050.00,1316.50
"TIRUPATI ML HIGHRISE, PHASE - I (BLOCK 2)",P-BPL-17-374,Ongoing,9425300227,tirupatihighrise0201@gmail.com,229744000.00,12051000.00
SWASTIK GRAND VILLAS PHASE I,P-BPL-17-376,Ongoing,7000446020,MINYRAJ@GMAIL.COM,1097.45,1600.00
SHIV AANGAN,P-BPL-17-377,Ongoing,8959336677,shreeshivdevelopers@gmail.com,7400.00,
INDRAPRASTH COLONY - EWS BLOCK,P-BPL-17-379,Ongoing,9039059944,RAMAYANBUILDERS@GMAIL.COM,53.82,3.59
PARADISE HERITAGE-II,P-BPL-17-383,Ongoing,9827439005,pgrs.pvt.ltd@gmail.com,270.00,159.50
CENTURY HEIGHTS,P-BPL-17-395,Ongoing,9893272345,centurybuildersbhopal@gmail.com,0.02,
ASHOK VIHAR COLONY,P-BPL-17-397,Ongoing,9826082515,ashok.vihar2010@gmail.com,311.00,17.13
EASTERN COUNTY PHASE 2,P-BPL-17-407,Ongoing,9826650113,mirakaar@gmail.com,1431.98,11.74
AMALTAS AMBREEN HOMES,P-BPL-17-418,Ongoing,7828512394,amaltas.bpl@gmail.com,900.00,35.10
ORACLE,P-BPL-17-419,Ongoing,9755999990,rakshachief@gmail.com,406.59,237.51
VARDHMAN GREEN PARK PHASE-IV,P-BPL-17-420,Ongoing,7773050235,vardhmanbhopal130@gmail.com,23.47,6.66
EDEN PARK,P-BPL-17-424,Ongoing,9755999990,rakshachief@gmail.com,107.37,5.34
WESTERN COURT,P-BPL-17-427,Ongoing,9893028468,info@westerngroup.co.in,309115200.00,
AP - PARK AVENUE,P-BPL-17-429,New,8989792163,manojsingh3011@gmail.com,444.00,250.00
"DIVINE DEVELOPERS, AASHIMA DIVINE CITY",P-BPL-17-434,Ongoing,8109921676,opkbpl@gmail.com,8830.08,1624.25
MACKER REGALIA,P-BPL-17-436,Ongoing,9826051759,neerajmacker@mackerrealventures.com,484.11,41.43
ESSARJEE ROYALE,P-BPL-17-443,Ongoing,9826024221,essarjee@gmail.com,481.35,10.09
ESSARJEE SAMPADA PHASE - II,P-BPL-17-445,Ongoing,9826024221,essarjee@gmail.com,3067.74,78.71
HIMANSHU SHUBH CITY,P-BPL-17-449,Ongoing,9826043891,HFMBHOPAL@YAHOO.COM,975.00,615.45
PEBBLE BAY-PHASE-V,P-BPL-17-456,Ongoing,9826244806,ahplbpl@yahoo.com,2920.00,1080.00
AIRPORT CITY PHASE -1,P-BPL-17-459,Ongoing,9826035850,skyujjawalaair@gmail.com,0.01,
OPEL ORRIS-I,P-BPL-17-460,Ongoing,9826019857,rsrhousing79@gmail.com,4589.18,136.85
"M/S GIRISH BUILDERS &AMP; DEVELOPERS, AASHIMA ROYAL CITY",P-BPL-17-461,Ongoing,9303132201,saipathlisa@gmail.com,3750.00,724.50
PALMERA VILLAS,P-BPL-17-463,Ongoing,9893053165,info@hindustancolonizer.com,1600.00,9.00
SIDDHARTH TOWERS 2,P-BPL-17-468,New,9770002233,siddharthconstruction008@gmail.com,15000000.00,5900000.00
PARAS HEIGHTS - PHASE II,P-BPL-17-475,Ongoing,9827056550,parashomes@gmail.com,6750000.00,1329000.00
PARAS HEIGHTS - PHASE I,P-BPL-17-485,Ongoing,9827056550,parashomes@gmail.com,89000000.00,6430000.00
RUDRAKSH KASTURI,P-BPL-17-491,Ongoing,9827042847,nirvanalifespaces@yahoo.com,2600.00,
ROSEWOOD CENTURY,P-BPL-17-505,Ongoing,9893291757,balanianil@yahoo.com,1693.00,1900.00
DWARKADHAM,P-BPL-17-506,Ongoing,8319405147,dwarkadham2017@yahoo.com,16625.23,539.00
SWEET HOME,P-BPL-17-512,Ongoing,9873137710,shrivastava.manoj@gmail.com,250.00,150.00
GEET SKYVILLE,P-BPL-17-514,Ongoing,9827058247,sunitaconstructions123@gmail.com,4066.53,228.62
SINGAPORE CITY,P-BPL-17-515,Ongoing,9617130300,crystalhbuilders@gmail.com,2503.00,1037.00
BHOOMI GOLDEN HEIGHTS,P-BPL-17-522,Ongoing,7869911330,bhoomi.bhopal@gmail.com,1640.25,1760.00
GOLD VILLE,P-BPL-17-523,Ongoing,7828512392,amaltas1996@gmail.com,1905.00,1695.00
LALITA PARISAR,P-BPL-17-528,Ongoing,9425300561,nautyalmukesh@gmail.com,6118866.00,7217046.00
KAKDA ABHINAV HOMES,P-BPL-17-529,Ongoing,9669100055,kakdaabhinavhomes@gmail.com,165.00,19.70
FORTLEZA PHASE 1,P-BPL-17-532,Ongoing,7354990303,rerafortleza@mirchandanigroup.com,4159.00,289.78
SHIV OM GREEN PARK,P-BPL-17-533,Ongoing,9827098572,jprakash873@gmail.com,1054.00,110.21
CHINARR 7TH MILE,P-BPL-17-537,Ongoing,9425005446,chinar2@hotmail.com,65129831.00,125517120.00
CHINAR INCUBE BUSINESS CENTRE,P-BPL-17-538,Ongoing,9039984260,shrikant@chinarrgroup.com,261649070.00,20383000.00
CHINARR NIVAASAA,P-BPL-17-539,Ongoing,9630025446,info@chinarrgroup.com,73873215.00,106342125.00
BHAWANI REGENCY,P-BPL-17-540,Ongoing,9425303009,BHAWANIHOUSING@GMAIL.COM,252.80,78.98
KILOL BUNGALOWS,P-BPL-17-549,Ongoing,9303134334,prithviestate13@gmail.com,22541240.00,2633810.00
SHREE ANANDAM,P-BPL-17-554,Ongoing,9425012341,shishirmaheshwari27@gmail.com,637.00,1242.44
"NICE SPACE (BLOCK B, F, H, EWS,AND CLUB HOUSE)",P-BPL-17-563,Ongoing,9752939700,spcolonizers.pvt.ltd@gmail.com,2767.00,180.00
REGAL PINK CITY,P-BPL-17-564,Ongoing,9425010288,skbajpai0101@gmail.com,1343.95,26.76
AUGUSTUS PHASE I,P-BPL-17-565,Ongoing,9300050000,sanjeevsingh@belief.co.in,904.88,31.73
"ACHLAM INFRASTRUCTURE, MADHUBAN CITY",P-BPL-17-566,Ongoing,9981013788,ravi553162@gmail.com,3840.00,683.66
NAND GAON,P-BPL-17-569,Ongoing,9826443671,rkparmar999@gmail.com,1149.00,100.08
LAKE PEARL VALLEY,P-BPL-17-573,Ongoing,9826014898,wasiq40@yahoo.co.in,2747.34,442.63
LAXMI PARISAR CLASSIC,P-BPL-17-575,Ongoing,9826046877,gouraconstruction@gmail.com,45000000.00,4695000.00
THE HOMES,P-BPL-17-578,Ongoing,8878676345,pbd.bpl@gmail.com,1180.60,1756.40
PEBBLE BAY-PHASE-II-PHASE-B,P-BPL-17-596,Ongoing,9826244806,ahplbpl@yahoo.com,2777.00,636.63
ALARK RESIDENCY EWS/LIG,P-BPL-17-598,Ongoing,9993077333,sachin.alark@gmail.com,238.00,
ALARK RESIDENCY BLOCK C,P-BPL-17-599,New,9993077333,sachin.alark@gmail.com,2385.00,385.00
INDRAPRASTH COLONY,P-BPL-17-604,Ongoing,9039059944,RAMAYANBUILDERS@GMAIL.COM,275.00,108.66
STC ALARK SIGNATURE PARK PHASE 1 - EWS,P-BPL-17-606,Ongoing,9425301030,alarkgroup@gmail.com,21.22,50.30
STC ALARK SIGNATURE PARK PHASE 1,P-BPL-17-608,Ongoing,9425301030,alarkgroup@gmail.com,935.75,205.61
S.K.HEIGHT,P-BPL-17-610,Ongoing,9926100523,hemantkhawse@gmail.com,230.00,46.06
CHINARR NEST,P-BPL-17-611,Ongoing,9425005446,chinar2@hotmail.com,133192680.00,12400600.00
SHREE SAI ARCHADE,P-BPL-17-612,Ongoing,9229223600,ajay.sharma922277@gmail.com,150.00,4.00
CHINARR DREAM CT (BLOCK A TO M AND QRSTU),P-BPL-17-618,Ongoing,7869008288,chinar2.sunil@gmail.com,1591085987.00,750000000.00
SAPPHIRE MAJESTIC (IBD REVAA),P-BPL-17-620,Ongoing,9926671777,shrisiddhivinayakbuildcon@gmail.com,2404.00,
SARLA PARADISE,P-BPL-17-621,Ongoing,9165570870,mohitsachdev07@gmail.com,1195.00,175.77
IBD KINGS PARK,P-BPL-17-622,Ongoing,8959903615,ibduniversalrera@gmail.com,5936.30,1216.30
IBD QUEENS COURT 2,P-BPL-17-623,Ongoing,8959903615,ibduniversalrera@gmail.com,357.66,196.71
GREEN MEADOWS PHASE II EWS BLOCK,P-BPL-17-626,New,8989792334,greenmeadowsbpl@yahoo.in,239.85,9.55
AADYA HABITAT - PHASE III,P-BPL-17-627,New,9039000044,ar.hitesh2@gmail.com,182.00,53.00
FORTUNE BLUE RIDGE,P-BPL-17-640,Ongoing,9827056370,fortunebuildersbpl@gmail.com,1069.86,45.17
AADYA HABITAT - PHASE II,P-BPL-17-642,Ongoing,9039000044,ar.hitesh2@gmail.com,89.47,128.21
TIRUPATI ABHINAV HOMES,P-BPL-17-648,Ongoing,8120555777,tirupatiabhinavhomes@gmail.com,0.03,0.02
SEAC CITY BHOPAL,P-OTH-17-649,Ongoing,9300997799,akdubey@seac.co.in,371.00,22.21
WHISPERING PALMS PHASE III,P-BPL-17-651,New,9827094884,sterling_builders@yahoo.in,529.50,12.40
WHISPERING PALMS PHASE II,P-OTH-17-653,Ongoing,9827094884,sterling_builders@yahoo.in,383.60,67.00
SUHAGA,P-BPL-17-658,Ongoing,9009659993,shubhalay.com@gmail.com,1196.00,56.06
FORTUNE GREENSHIRE,P-BPL-17-663,Ongoing,9827055091,fortunebuildersbpl@yahoo.co.in,290.21,484.34
DEVELOPMENT OF 36 EWS PLOTS AT VISHWAKARMA NAGAR BHOPAL,P-BPL-17-664,New,9406912008,eedn1hbbpl@mp.gov.in,94.50,13.24
YASHODA DESIRE,P-BPL-17-667,Ongoing,9826023559,yashodahomes@gmail.com,1844.59,36.58
VASTU VIHAR 1,P-BPL-17-672,Ongoing,9826738551,pawanchug@gmail.com,606.35,10.02
PARAS VILLA,P-BPL-17-674,Ongoing,9827056550,parashomes@gmail.com,45500000.00,2314000.00
PALM CITY,P-BPL-17-675,Ongoing,9179078989,housing.tri@gmail.com,1339.00,6595.00
FORTUNE DIVINE CITY (CONVENIENT SHOPS),P-BPL-17-676,Ongoing,9827056370,fortunebuildersbpl@gmail.com,55.15,1.26
MAHENDRA GREEN WOODS,P-BPL-17-679,Ongoing,8085328281,mahendrabuilders@rediffmail.com,2004.00,135.00
IBD QUEENS COURT 1,P-BPL-17-683,Ongoing,8959903615,ibduniversalrera@gmail.com,366.08,
PARAS HEIGHTS - PHASE - 3,P-BPL-17-692,Ongoing,9827056550,parashomes@gmail.com,80000000.00,1588000.00
KASTURI HOMES,P-BPL-17-696,Ongoing,9993670255,jagdeeshthakur.jt@gmail.com,849.75,477.03
VIRASHA HEIGHTS PHASE 7,P-BPL-17-698,New,9826029103,VIRASHA.INFRASTRUCTURE@GMAIL.COM,620.50,10.78
VIRASHA HEIGHTS PHASE - 4,P-BPL-17-699,New,9826029103,VIRASHA.INFRASTRUCTURE@GMAIL.COM,620.52,10.78
SWASTIK PARAS ENCLAVE PHASE I,P-BPL-17-703,Ongoing,9826079210,SBINFRABHOPAL@GMAIL.COM,2323.76,368.64
PEBBLE BAY-PHASE-VI,P-BPL-17-704,Ongoing,9826244806,ahplbpl@yahoo.com,1446.00,1948.60
LIFESTYLE BLU,P-BPL-17-705,Ongoing,9425010729,sanskaar@live.in,,
ULTIMATE ENGLISH VILLAS PHASE-02,P-BPL-17-706,Ongoing,9039010082,,405290941.74,287366286.80
ULTIMATE ENGLISH VILLAS(SQUARE I)-PHASE 3,P-BPL-17-707,Ongoing,9039010082,info@ultimateconstructions.com,56173556.21,85359654.51
SOUMYA PARKLAND EXTENSION,P-BPL-17-708,Ongoing,9981666323,sanjay.soumyahomes@gmail.com,191.17,43.95
SHEETAL PARADISE,P-BPL-17-713,Ongoing,9981686331,sheetalnathbuilders@gmail.com,1114.52,423.52
FORTUNE SOUMYA ATLANTIS PHASE 4,P-BPL-17-717,Ongoing,9826021986,fortunesoumyarera@rediffmail.com,374.22,46.17
"SAGAR EDEN GARDEN, PHASE-II",P-BPL-17-724,Ongoing,8602252541,seg2.agrawalconstruction@gmail.com,2308.38,479.75
REGALIA PALACE BLOCK 1 (E) AND 2 (E),P-BPL-17-727,New,9893243888,shameemkhan345q@gmail.com,2655.04,283.93
PARK CITY SECTOR-8,P-BPL-17-728,Ongoing,9826045517,project@gmvindia.com,83.23,
SUNCITY GREENS,P-BPL-17-729,Ongoing,9302169057,js@gmvindia.com,755.86,79.27
OPELORRIS PHASE-II,P-BPL-17-741,New,9826019857,rsrhousing79@gmail.com,,
SAMMASATI-1,P-BPL-17-744,Ongoing,9300688065,AHMED21CR@REDIFFMAIL.COM,298.00,91.85
BHAVISHYA METRO CITY ROYAL PARK,P-BPL-17-745,Ongoing,8889955884,vinod.bhavishya@gmail.com,158087481.00,16355850.00
HARMONY PHASE 2,P-BPL-17-747,Ongoing,9893048199,vansh.tripathi12@gmail.com,0.01,
"THE BELLAIRE MINT ( BLOCK A, C,&AMP; EWS -LIG)",P-BPL-17-748,Ongoing,9425302856,RISHIKESHNIRMAAN@GMAIL.COM,2402.00,173.00
LAXMI SHOPPING COMPLEX,P-BPL-17-749,Ongoing,9826443671,rkparmar999@gmail.com,180.35,25.01
SUDAMA SUN CITY,P-BPL-17-751,Ongoing,9826293567,anilsrajdev@gmail.com,575.90,
KAUSHALYA HEIGHTS,P-BPL-17-757,Ongoing,9685108545,kdbd06@gmail.com,81704790.00,10285685.00
KAUSHALYA PINK HERITAGE,P-BPL-17-758,Ongoing,9685108545,kdbd06@gmail.com,274.66,42.13
GANPATI INDIGO,P-BPL-17-759,New,9425006430,omaccessrealtygst@gmail.com,514.37,242.83
PARAS MIDAS EWS PHASE,P-BPL-17-761,Ongoing,9425012805,parashousing@gmail.com,213.68,
HARSHIT LIFESTYLE - PHASE 2,P-BPL-17-763,Ongoing,9425303399,hitesh_91281@yahoo.com,9123000.00,
SOUTH CITY AVENUE PHASE II,P-BPL-17-785,New,9826032331,sjvardhman@gmail.com,64000000.00,31800000.00
SOUTH CITY ENCLAVE PHASE - 1,P-BPL-17-786,Ongoing,9826032331,sjvardhman@gmail.com,10.00,10.00
PRAKRATI EDEN &AMP; ELITE,P-BPL-17-790,Ongoing,9993044431,prakratibuilder@gmail.com,2202.00,
PARSHVDHAM PHACE -1,P-BPL-17-794,Ongoing,9669579956,jain3vivek@gmail.com,2000.00,65.00
GLOBAL TOWER,P-BPL-17-798,Ongoing,9229280554,mahendra9700@rediffmail.com,272.95,84.24
PARSHV GALAXY,P-BPL-17-800,Ongoing,9754447955,jain_vivek3@rediffmail.com,1500.00,500.00
GANPATI ABODE,P-BPL-17-807,New,9425006430,omaccessrealtygst@gmail.com,2009.55,342.81
MASTERS RESIDENCY,P-BPL-17-824,Ongoing,7838899607,rajput.abhimanyu@gmail.com,171.00,951.00
HIMALAYA RESIDENCY,P-BPL-17-829,Ongoing,9425302760,buildershimalaya@gmail.com,1376.29,390.50
GOLF PARK,P-BPL-17-831,Ongoing,7987822439,bpl.fastrack@gmail.com,436.60,15.42
SHREE GOLDEN CITY PRIMA PHASE 1,P-BPL-17-832,Ongoing,9303130360,manish@shreebuilders.com,1485.85,526.04
SHREE GOLDEN CITY PRIMA PHASE 2,P-BPL-17-834,Ongoing,9303130360,manish@shreebuilders.com,976.61,345.76
BALAJEE HEIGHTS,P-BPL-17-835,Ongoing,9713564894,info@aaurabuildcon.com,170.00,600.00
SHREE GOLDEN CITY PRIMA PHASE 4,P-BPL-17-836,Ongoing,9303130360,manish@shreebuilders.com,515.95,182.68
ATAL ASRAY AFFOARDABLE HOUSING SCHEME(JNNURM) NAVIBAG,P-BPL-17-837,Ongoing,9406565263,info@bda.org.in,6460.13,1.00
SHASHI HI-TECH CITY,P-BPL-17-853,Ongoing,9300282816,sauravsharan1@gmail.com,450.00,1777580.00
JANKI GALAXY,P-BPL-17-855,Ongoing,9926800618,prateekvats1906@gmail.com,505.00,380.00
RAI PINK CITY PHASE-II,P-BPL-17-856,Ongoing,9009989703,raihrbhopal@gmail.com,6330.12,1500.00
RAI PINK CITY PHASE I,P-BPL-17-860,Ongoing,9009989707,raihomes1@gmail.com,3083.35,600.00
"CONSTRUCTION OF 101 LIG, 208 EWS HOUSES, 10 SHOPS &AMP; DEVELOPMENT OF 3.67 HECT LAND, ANANDAM NAGA",P-OTH-17-869,Ongoing,9425028124,eednhbgun@mp.gov.in,1843.00,41.39
SAKSHI PARADISE,P-BPL-17-879,Ongoing,9713183111,CRUNCHIESTORE@GMAIL.COM,36.94,3.75
SIGNATURE CITY EXCLUSIVE,P-BPL-17-884,Ongoing,9302244664,manishidnani7@gmail.com,270.34,172.52
